Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,3350093333640,9.542,3.971,1.319,0,16,9542,3971,1319,0,0,0
5,1,1,0,0x00000000,0,2,3350093733160,9.61,3.919,1.155,6,16,9610,3919,1155,0,0,0
5,1,1,0,0x00000000,0,2,3350093733160,9.662,3.865,1.163,7,16,9662,3865,1163,0,0,0
5,1,1,0,0x00000000,0,2,3350093733160,9.698,3.804,1.169,11,16,9698,3804,1169,0,0,0
5,1,1,0,0x00000000,0,2,3350093733160,9.795,3.766,1.181,1,16,9795,3766,1181,0,0,0
