Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,3349211549060,9.959,4.074,1.711,9,16,9959,4074,1711,0,0,0
5,1,1,0,0x00000000,0,2,3349211549060,10.002,4.001,1.536,18,16,10002,4001,1536,0,0,0
5,1,1,0,0x00000000,0,2,3349211549060,9.943,3.988,1.713,0,16,9943,3988,1713,0,0,0
5,1,1,0,0x00000000,0,2,3349211549060,10.064,3.946,1.551,41,16,10064,3946,1551,0,0,0
5,1,1,0,0x00000000,0,2,3349211549060,9.947,3.91,1.718,0,16,9947,3910,1718,0,0,0
5,1,1,0,0x00000000,0,2,3349211948320,10.058,3.864,1.553,46,16,10058,3864,1553,0,0,0
5,1,1,0,0x00000000,0,2,3349211948320,10.217,3.843,1.58,34,16,10217,3843,1580,0,0,0
5,1,1,0,0x00000000,0,2,3349211948320,9.904,3.734,1.715,1,16,9904,3734,1715,0,0,0
5,1,1,0,0x00000000,0,2,3349211948320,10.294,3.791,1.593,0,16,10294,3791,1593,0,0,0
5,1,1,0,0x00000000,0,2,3349278244200,10.233,3.741,1.511,0,16,10233,3741,1511,0,0,0
5,1,1,0,0x00000000,0,2,3349278244200,10.142,3.768,1.55,0,16,10142,3768,1550,0,0,0
5,1,1,0,0x00000000,0,2,3349278244200,10.012,3.778,1.584,1,16,10012,3778,1584,0,0,0
5,1,1,0,0x00000000,0,2,3349278244200,10.127,3.862,1.478,18,16,10127,3862,1478,0,0,0
5,1,1,0,0x00000000,0,2,3349278244200,9.839,3.769,1.609,2,16,9839,3769,1609,0,0,0
5,1,1,0,0x00000000,0,2,3349278643860,10.045,3.872,1.346,0,16,10045,3872,1346,0,0,0
5,1,1,0,0x00000000,0,2,3349278643860,9.967,3.858,1.509,65,16,9967,3858,1509,0,0,0
5,1,1,0,0x00000000,0,2,3349278643860,10.024,3.918,1.397,8,16,10024,3918,1397,0,0,0
5,1,1,0,0x00000000,0,2,3349278643860,9.98,3.918,1.566,61,16,9980,3918,1566,0,0,0
5,1,1,0,0x00000000,0,2,3349278643860,10.03,3.975,1.454,12,16,10030,3975,1454,0,0,0
5,1,1,0,0x00000000,0,2,3349278643860,9.959,3.964,1.619,3,16,9959,3964,1619,0,0,0
5,1,1,0,0x00000000,0,2,3349278643860,10.001,4.016,1.505,43,16,10001,4016,1505,0,0,0
5,1,1,0,0x00000000,0,2,3349278643860,9.898,3.992,1.665,0,16,9898,3992,1665,0,0,0
5,1,1,0,0x00000000,0,2,3349278643860,9.98,4.06,1.558,3,16,9980,4060,1558,0,0,0
5,1,1,0,0x00000000,0,2,3349278643860,9.938,4.093,1.609,7,16,9938,4093,1609,0,0,0
