Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,3350754658580,8.758,4.113,1.312,14,16,8758,4113,1312,0,0,0
5,1,1,0,0x00000000,0,2,3350754658580,8.783,4.057,1.324,51,16,8783,4057,1324,0,0,0
5,1,1,0,0x00000000,0,2,3350754658580,8.782,3.988,1.33,53,16,8782,3988,1330,0,0,0
5,1,1,0,0x00000000,0,2,3350754658580,8.837,3.944,1.344,46,16,8837,3944,1344,0,0,0
5,1,1,0,0x00000000,0,2,3350754658580,8.948,3.924,1.365,12,16,8948,3924,1365,0,0,0
5,1,1,0,0x00000000,0,2,3350798581900,8.918,3.938,1.373,7,16,8918,3938,1373,0,0,0
5,1,1,0,0x00000000,0,2,3350798581900,8.759,3.921,1.395,13,16,8759,3921,1395,0,0,0
5,1,1,0,0x00000000,0,2,3350798980860,8.862,4.004,1.3,42,16,8862,4004,1300,0,0,0
5,1,1,0,0x00000000,0,2,3350798980860,8.651,3.926,1.426,0,16,8651,3926,1426,0,0,0
5,1,1,0,0x00000000,0,2,3350798980860,8.718,3.99,1.326,49,16,8718,3990,1326,0,0,0
5,1,1,0,0x00000000,0,2,3350798980860,8.812,4.068,1.229,13,16,8812,4068,1229,0,0,0
5,1,1,0,0x00000000,0,2,3350798980860,8.715,4.039,1.374,48,16,8715,4039,1374,0,0,0
5,1,1,0,0x00000000,0,2,3350798980860,8.815,4.119,1.28,0,16,8815,4119,1280,0,0,0
5,1,1,0,0x00000000,0,2,3350798980860,8.702,4.083,1.422,1,16,8702,4083,1422,0,0,0
5,1,1,0,0x00000000,0,2,3350798980860,8.703,4.115,1.313,21,16,8703,4115,1313,0,0,0
5,1,1,0,0x00000000,0,2,3350798980860,8.673,4.131,1.2,4,16,8673,4131,1200,0,0,0
5,1,1,0,0x00000000,0,2,3350798980860,8.688,4.155,1.361,31,16,8688,4155,1361,0,0,0
5,1,1,0,0x00000000,0,2,3350798980860,8.633,4.174,1.403,19,16,8633,4174,1403,0,0,0
5,1,1,0,0x00000000,0,2,3350853296000,8.486,4.256,1.454,1,16,8486,4256,1454,0,0,0
5,1,1,0,0x00000000,0,2,3350853296000,8.6,4.164,1.337,4,16,8600,4164,1337,0,0,0
5,1,1,0,0x00000000,0,2,3350853296000,8.638,4.114,1.357,48,16,8638,4114,1357,0,0,0
5,1,1,0,0x00000000,0,2,3350853296000,8.717,4.071,1.216,3,16,8717,4071,1216,0,0,0
5,1,1,0,0x00000000,0,2,3350853296000,8.639,4.046,1.37,50,16,8639,4046,1370,0,0,0
5,1,1,0,0x00000000,0,2,3350853694620,8.778,4.031,1.237,17,16,8778,4031,1237,0,0,0
5,1,1,0,0x00000000,0,2,3350853694620,8.652,3.984,1.384,24,16,8652,3984,1384,0,0,0
5,1,1,0,0x00000000,0,2,3350853694620,8.673,3.925,1.398,9,16,8673,3925,1398,0,0,0
5,1,1,0,0x00000000,0,2,3350853694620,8.711,3.873,1.414,0,16,8711,3873,1414,0,0,0
