Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,1044750014400,32.675,0.35,0.287,1,16,32675,350,287,0,0,0
5,1,1,0,0x00000000,0,2,1044750014400,32.751,0.216,0.471,1,16,32751,216,471,0,0,0
5,1,1,0,0x00000000,0,2,1044750413880,32.851,0.082,0.662,1,16,32851,82,662,0,0,0
5,1,1,0,0x00000000,0,2,1044756005480,32.755,0.225,0.394,2,16,32755,225,394,0,0,0
5,1,1,0,0x00000000,0,2,1044761992700,32.726,0.038,0.683,2,16,32726,38,683,0,0,0
5,1,1,0,0x00000000,0,2,1044761992700,32.795,0.134,0.476,3,16,32795,134,476,0,0,0
5,1,1,0,0x00000000,0,2,1044773176360,32.588,0.286,0.348,1,16,32588,286,348,0,0,0
5,1,1,0,0x00000000,0,2,1044773576180,32.699,0.092,0.459,3,16,32699,92,459,0,0,0
5,1,1,0,0x00000000,0,2,1044779166080,32.55,0.234,0.306,1,16,32550,234,306,0,0,0
5,1,1,0,0x00000000,0,2,1044785156000,32.689,-0.044,0.602,2,16,32689,-44,602,0,0,0
5,1,1,0,0x00000000,0,2,1044785156000,32.616,0.013,0.617,1,16,32616,13,617,0,0,0
5,1,1,0,0x00000000,0,2,1044785156000,32.606,0.034,0.39,3,16,32606,34,390,0,0,0
5,1,1,0,0x00000000,0,2,1044785156000,32.608,0.071,0.41,5,16,32608,71,410,0,0,0
5,1,1,0,0x00000000,0,2,1044796741120,32.559,-0.033,0.382,4,16,32559,-33,382,0,0,0
5,1,1,0,0x00000000,0,2,1044796741120,32.488,-0.02,0.288,1,16,32488,-20,288,0,0,0
5,1,1,0,0x00000000,0,2,1044796741120,32.614,0.015,0.426,4,16,32614,15,426,0,0,0
5,1,1,0,0x00000000,0,2,1044796741120,32.562,0.05,0.331,2,16,32562,50,331,0,0,0
5,1,1,0,0x00000000,0,2,1044796741120,32.435,0.124,0.462,1,16,32435,124,462,0,0,0
5,1,1,0,0x00000000,0,2,1044796741120,32.506,0.181,0.361,2,16,32506,181,361,0,0,0
5,1,1,0,0x00000000,0,2,1044808322360,32.442,0.148,0.483,1,16,32442,148,483,0,0,0
5,1,1,0,0x00000000,0,2,1044808322360,32.49,0.052,0.51,1,16,32490,52,510,0,0,0
5,1,1,0,0x00000000,0,2,1044808322360,32.559,0.003,0.287,1,16,32559,3,287,0,0,0
5,1,1,0,0x00000000,0,2,1044808322360,32.478,-0.057,0.535,3,16,32478,-57,535,0,0,0
5,1,1,0,0x00000000,0,2,1044819899700,32.389,0.069,0.407,1,16,32389,69,407,0,0,0
5,1,1,0,0x00000000,0,2,1044825487200,32.439,-0.016,0.268,4,16,32439,-16,268,0,0,0
5,1,1,0,0x00000000,0,2,1044831474420,32.328,0.051,0.343,1,16,32328,51,343,0,0,0
5,1,1,0,0x00000000,0,2,1044837068340,32.351,-0.141,0.355,2,16,32351,-141,355,0,0,0
