Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,1083915150860,18.499,0.126,2.031,9,16,18499,126,2031,0,0,0
5,1,1,0,0x00000000,0,2,1083915150860,18.383,0.152,2.145,0,16,18383,152,2145,0,0,0
5,1,1,0,0x00000000,0,2,1083915150860,18.446,0.164,1.965,46,16,18446,164,1965,0,0,0
5,1,1,0,0x00000000,0,2,1083915150860,18.349,0.194,2.081,56,16,18349,194,2081,0,0,0
5,1,1,0,0x00000000,0,2,1083915150860,18.239,0.225,2.193,2,16,18239,225,2193,0,0,0
