Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,1082498167400,12.273,1.648,-0.174,0,16,12273,1648,-174,0,0,0
5,1,1,0,0x00000000,0,2,1082498167400,12.194,1.545,-0.01,3,16,12194,1545,-10,0,0,0
5,1,1,0,0x00000000,0,2,1082498167400,12.13,1.454,-0.037,4,16,12130,1454,-37,0,0,0
5,1,1,0,0x00000000,0,2,1082510946660,12.387,1.347,-0.079,1,16,12387,1347,-79,0,0,0
5,1,1,0,0x00000000,0,2,1082510946660,12.277,1.414,-0.113,16,16,12277,1414,-113,0,0,0
5,1,1,0,0x00000000,0,2,1082510946660,12.267,1.502,0.042,0,16,12267,1502,42,0,0,0
5,1,1,0,0x00000000,0,2,1082510946660,12.291,1.584,0.006,19,16,12291,1584,6,0,0,0
5,1,1,0,0x00000000,0,2,1082510946660,12.321,1.665,-0.031,17,16,12321,1665,-31,0,0,0
5,1,1,0,0x00000000,0,2,1082521326260,12.326,1.708,0.048,4,16,12326,1708,48,0,0,0
5,1,1,0,0x00000000,0,2,1082521326260,12.319,1.618,0.047,8,16,12319,1618,47,0,0,0
5,1,1,0,0x00000000,0,2,1082521326260,12.323,1.531,0.047,1,16,12323,1531,47,0,0,0
5,1,1,0,0x00000000,0,2,1082521726000,12.3,1.44,0.049,0,16,12300,1440,49,0,0,0
5,1,1,0,0x00000000,0,2,1082521726000,12.316,1.365,-0.14,4,16,12316,1365,-140,0,0,0
5,1,1,0,0x00000000,0,2,1082521726000,12.358,1.282,-0.137,8,16,12358,1282,-137,0,0,0
5,1,1,0,0x00000000,0,2,1082586019840,12.699,1.235,-0.012,0,16,12699,1235,-12,0,0,0
5,1,1,0,0x00000000,0,2,1082586019840,12.716,1.326,-0.003,6,16,12716,1326,-3,0,0,0
5,1,1,0,0x00000000,0,2,1082586019840,12.66,1.41,0.004,1,16,12660,1410,4,0,0,0
5,1,1,0,0x00000000,0,2,1082586419380,12.617,1.496,0.011,2,16,12617,1496,11,0,0,0
5,1,1,0,0x00000000,0,2,1082586419380,12.584,1.581,0.015,7,16,12584,1581,15,0,0,0
5,1,1,0,0x00000000,0,2,1082586419380,12.562,1.669,0.019,1,16,12562,1669,19,0,0,0
5,1,1,0,0x00000000,0,2,1082596800620,12.647,1.586,0.046,0,16,12647,1586,46,0,0,0
5,1,1,0,0x00000000,0,2,1082596800620,12.672,1.51,0.006,1,16,12672,1510,6,0,0,0
5,1,1,0,0x00000000,0,2,1082596800620,12.742,1.439,-0.032,0,16,12742,1439,-32,0,0,0
5,1,1,0,0x00000000,0,2,1082597198720,12.821,1.366,-0.071,3,16,12821,1366,-71,0,0,0
