Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,3161535875840,22.19,-0.989,0.751,0,16,22190,-989,751,0,0,0
5,1,1,0,0x00000000,0,2,3161536275800,22.216,-0.858,0.667,53,16,22216,-858,667,0,0,0
5,1,1,0,0x00000000,0,2,3161536275800,22.214,-0.728,0.586,45,16,22214,-728,586,0,0,0
5,1,1,0,0x00000000,0,2,3161547855600,22.162,-0.717,0.742,5,16,22162,-717,742,0,0,0
5,1,1,0,0x00000000,0,2,3161559437700,22.132,-0.913,0.694,15,16,22132,-913,694,0,0,0
5,1,1,0,0x00000000,0,2,3161559437700,22.21,-0.766,0.663,86,16,22210,-766,663,0,0,0
5,1,1,0,0x00000000,0,2,3161559437700,22.342,-0.618,0.635,25,16,22342,-618,635,0,0,0
5,1,1,0,0x00000000,0,2,3161571023920,22.163,-0.665,0.5,8,16,22163,-665,500,0,0,0
5,1,1,0,0x00000000,0,2,3161571023920,22.233,-0.823,0.491,10,16,22233,-823,491,0,0,0
5,1,1,0,0x00000000,0,2,3161582605860,22.206,-0.992,0.732,0,16,22206,-992,732,0,0,0
5,1,1,0,0x00000000,0,2,3161582605860,22.171,-0.837,0.747,5,16,22171,-837,747,0,0,0
5,1,1,0,0x00000000,0,2,3161582605860,22.168,-0.684,0.765,10,16,22168,-684,765,0,0,0
5,1,1,0,0x00000000,0,2,3161594192460,22.335,-0.559,0.661,8,16,22335,-559,661,0,0,0
5,1,1,0,0x00000000,0,2,3161594192460,22.224,-0.699,0.596,92,16,22224,-699,596,0,0,0
5,1,1,0,0x00000000,0,2,3161594592420,22.093,-0.837,0.531,0,16,22093,-837,531,0,0,0
5,1,1,0,0x00000000,0,2,3161600182300,22.213,-0.63,0.664,52,16,22213,-630,664,0,0,0
5,1,1,0,0x00000000,0,2,3161600182300,22.239,-0.702,0.421,2,16,22239,-702,421,0,0,0
5,1,1,0,0x00000000,0,2,3161600182300,22.002,-0.703,0.787,0,16,22002,-703,787,0,0,0
5,1,1,0,0x00000000,0,2,3161600182300,22.21,-0.784,0.551,57,16,22210,-784,551,0,0,0
5,1,1,0,0x00000000,0,2,3161600182300,22.137,-0.865,0.678,8,16,22137,-865,678,0,0,0
5,1,1,0,0x00000000,0,2,3161605773360,22.217,-0.703,0.507,20,16,22217,-703,507,0,0,0
5,1,1,0,0x00000000,0,2,3161605773360,22.333,-0.565,0.578,0,16,22333,-565,578,0,0,0
5,1,1,0,0x00000000,0,2,3161611364620,22.083,-0.872,0.657,7,16,22083,-872,657,0,0,0
5,1,1,0,0x00000000,0,2,3161611364620,22.391,-0.815,0.525,0,16,22391,-815,525,0,0,0
5,1,1,0,0x00000000,0,2,3161611364620,22.17,-0.729,0.702,41,16,22170,-729,702,0,0,0
5,1,1,0,0x00000000,0,2,3161611364620,22.201,-0.657,0.565,37,16,22201,-657,565,0,0,0
5,1,1,0,0x00000000,0,2,3161611364620,22.171,-0.572,0.749,11,16,22171,-572,749,0,0,0
