Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,3161338973320,22.192,-1.087,0.768,0,16,22192,-1087,768,0,0,0
5,1,1,0,0x00000000,0,2,3161338973320,22.195,-0.939,0.729,42,16,22195,-939,729,0,0,0
5,1,1,0,0x00000000,0,2,3161338973320,22.381,-0.795,0.696,0,16,22381,-795,696,0,0,0
5,1,1,0,0x00000000,0,2,3161350555600,22.244,-0.932,0.509,37,16,22244,-932,509,0,0,0
5,1,1,0,0x00000000,0,2,3161362141580,22.14,-1.162,0.747,1,16,22140,-1162,747,0,0,0
5,1,1,0,0x00000000,0,2,3161362141580,22.218,-1.01,0.759,5,16,22218,-1010,759,0,0,0
5,1,1,0,0x00000000,0,2,3161362141580,22.149,-0.853,0.769,33,16,22149,-853,769,0,0,0
5,1,1,0,0x00000000,0,2,3161373722800,22.299,-0.81,0.577,45,16,22299,-810,577,0,0,0
5,1,1,0,0x00000000,0,2,3161374122540,22.318,-0.955,0.517,76,16,22318,-955,517,0,0,0
5,1,1,0,0x00000000,0,2,3161379710480,22.339,-0.798,0.654,33,16,22339,-798,654,0,0,0
5,1,1,0,0x00000000,0,2,3161385302820,22.226,-0.902,0.443,0,16,22226,-902,443,0,0,0
5,1,1,0,0x00000000,0,2,3161390893260,22.189,-0.863,0.746,12,16,22189,-863,746,0,0,0
5,1,1,0,0x00000000,0,2,3161390893260,22.24,-0.801,0.606,79,16,22240,-801,606,0,0,0
5,1,1,0,0x00000000,0,2,3161390893260,22.172,-0.727,0.785,2,16,22172,-727,785,0,0,0
5,1,1,0,0x00000000,0,2,3161402878960,22.332,-0.752,0.59,8,16,22332,-752,590,0,0,0
5,1,1,0,0x00000000,0,2,3161402878960,22.179,-0.859,0.69,38,16,22179,-859,690,0,0,0
5,1,1,0,0x00000000,0,2,3161402878960,22.166,-0.956,0.422,2,16,22166,-956,422,0,0,0
5,1,1,0,0x00000000,0,2,3161414059140,22.002,-1.053,0.757,0,16,22002,-1053,757,0,0,0
5,1,1,0,0x00000000,0,2,3161414059140,22.221,-0.951,0.655,69,16,22221,-951,655,0,0,0
5,1,1,0,0x00000000,0,2,3161414059140,22.241,-0.838,0.547,30,16,22241,-838,547,0,0,0
5,1,1,0,0x00000000,0,2,3161426050420,22.301,-0.754,0.562,26,16,22301,-754,562,0,0,0
5,1,1,0,0x00000000,0,2,3161426050420,22.219,-0.894,0.626,85,16,22219,-894,626,0,0,0
5,1,1,0,0x00000000,0,2,3161426050420,22.149,-1.033,0.687,6,16,22149,-1033,687,0,0,0
